day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
Tu,6/29/2004,31.1,1.573833333,0.0817,860,6.79,422.13,9966.74,1912.09,1093.56
Mo,6/28/2004,32.34,1.573833333,0.0813,855.5,6.55,423.15,9937.64,1896.59,1089.19
Fr,6/25/2004,32.71,1.573833333,0.0815,855.5,6.59,425.2,9937.71,1898.17,1088.69
Th,6/24/2004,32.89,1.573833333,0.0838,860,6.64,426.15,9968.51,1897.82,1091.49
We,6/23/2004,33.49,1.573833333,0.0839,861.5,6.61,421.65,9906.91,1876.64,1084.1
Tu,6/22/2004,33.1,1.573833333,0.0828,861,6.57,419.63,10012.87,1904.25,1095.7
Mo,6/21/2004,33.43,1.573833333,0.0828,848,6.73,419.05,10010.74,1926.03,1096.44
Fr,6/18/2004,34.2,1.573833333,0.0823,841.5,6.69,421.4,10045.16,1925.59,1097.28
Th,6/17/2004,33.29,1.573833333,0.082,845.5,6.61,426.55,10019.47,1931.35,1095.45
We,6/16/2004,32.91,1.573833333,0.0819,847.5,6.435,427.55,9990.02,1896.07,1087.12
Tu,6/15/2004,33.33,1.573833333,0.0801,844,6.42,429.55,10117.34,1917.96,1098.7
Mo,6/14/2004,33.43,1.573833333,0.0799,855,6.425,438.45,10241.26,1937.74,1113.99
Fr,6/11/2004,33.63,1.573833333,0.0811,861.5,6.505,437.99,10310.95,1957.26,1121.53
Th,6/10/2004,33.33,1.573833333,0.0822,860.25,6.415,436.45,10317.2,1950.48,1119.55
We,6/9/2004,32.81,1.573833333,0.0828,865,6.485,443.75,10314,1938.72,1117.49
Tu,6/8/2004,33.97,1.573833333,0.0825,867.5,6.8225,444.35,10225.57,1920.15,1107.31
Mo,6/7/2004,33,1.573833333,0.0824,867.5,6.8,442.65,10272.27,1958.78,1113.89
Fr,6/4/2004,34.25,1.573833333,0.0823,846,6.815,442.24,10342.6,1989.54,1122.41
Th,6/3/2004,34.93,1.573833333,0.0813,843.25,7.015,439.7,10478.16,2032.53,1138.11
We,6/2/2004,36.11,1.573833333,0.0833,842,6.985,441.6,10444.73,2036.77,1135.53
Tu,6/1/2004,35.36,1.573833333,0.0827,842.5,6.885,442.99,10472.84,2049.77,1140.6
Mo,5/31/2004,34.93,1.573833333,0.0816,843.25,6.885,441.5,10461.2,2032.91,1139.93
Fr,5/28/2004,33.86,1.573833333,0.0822,838.25,6.81,437.2,10317.27,1995.63,1124.09
Th,5/27/2004,34.42,1.573833333,0.0813,842.25,6.895,440.6,10314.5,1978.63,1118.15
We,5/26/2004,35.32,1.573833333,0.0796,840,6.82,435.6,10437.85,2020.43,1135.82
Tu,5/25/2004,35.54,1.573833333,0.0777,833.75,6.77,438.85,10451.97,1995.74,1134.61
Mo,5/24/2004,34.03,1.573833333,0.0724,833.5,6.67,434.2,10397.46,2002.17,1128.84
Fr,5/21/2004,34.95,1.573833333,0.0732,832.25,6.83,437.3,10377.95,2024.85,1128.17
Th,5/20/2004,36.01,1.573833333,0.0713,821,6.715,440.6,10381.28,2030.08,1129.44
We,5/19/2004,34.73,1.573833333,0.0728,832.25,6.78,450.9,10515.56,2065.48,1145.2
Tu,5/18/2004,35.09,1.573833333,0.0721,869.25,6.71,452.25,10442.03,2052.88,1139.32
Mo,5/17/2004,36.08,1.573833333,0.0709,872.75,6.74,455.9,10480.15,2050.24,1140.53
Fr,5/14/2004,35.76,1.573833333,0.07,872.75,7.09,449.25,10570.81,2059.9,1148.16
Th,5/13/2004,35.01,1.573833333,0.0703,881.75,7.815,454.75,10558.37,2079.12,1150.57
We,5/12/2004,34.61,1.573833333,0.0682,877.75,7.895,450.95,10470.59,2057.17,1141.81
Tu,5/11/2004,33.11,1.573833333,0.0724,868.25,8,453.95,10373.33,2015.01,1132.17
Mo,5/10/2004,33.28,1.573833333,0.0703,863.75,7.875,451.95,10357.7,1994.22,1126.21
Fr,5/7/2004,34.33,1.573833333,0.0678,864.5,8.015,451.69,10381.7,2000.63,1127
Th,5/6/2004,34.13,1.573833333,0.0666,863,7.7,449.55,10329.63,1992.57,1122.47
We,5/5/2004,33.15,1.573833333,0,861.25,7.785,447.05,10212.97,1960.02,1108.06
Tu,5/4/2004,33.34,1.573833333,0.0675,853,7.695,448.94,10218.82,1967.17,1109.19
Mo,5/3/2004,32.24,1.573833333,0.0693,853,7.6,447.05,10048.23,1909.48,1091.33
Fr,4/30/2004,32.75,1.573833333,0.0695,859.75,7.59,442.95,10063.64,1901.8,1093.95
Th,4/29/2004,32.02,1.573833333,0.0719,860,7.53,444.65,10064.75,1909.9,1095.4
We,4/28/2004,32.34,1.573833333,0.0719,874.25,7.565,439.45,10186.6,1940.47,1109.78
Tu,4/27/2004,31.9,1.573833333,0.0703,866.5,7.58,436.75,10295.78,1962.44,1122.32
Mo,4/26/2004,31.67,1.573833333,0.0704,876.5,7.54,437.85,10300.3,1976.76,1123.75
Fr,4/23/2004,31.62,1.573833333,0.0722,874,7.64,434.88,10184.67,1943.09,1110.7
Th,4/22/2004,31.15,1.573833333,0.0706,853,7.54,434.55,10102.89,1939.2,1104.49
We,4/21/2004,31.08,1.573833333,0.0689,847.5,7.54,435.15,10240.08,1984.73,1120.57
Tu,4/20/2004,31.44,1.573833333,0.0691,850,7.59,431.95,10128.38,1943.89,1106.78
Mo,4/19/2004,31.94,1.573833333,0.0675,847,7.455,433.55,10296.89,1964.15,1123.89
Fr,4/16/2004,31.94,1.573833333,0.0662,848.5,7.39,429.55,10456.96,1995.16,1140.58
Th,4/15/2004,31.17,1.573833333,0.0658,847.5,7.51,426.85,10529.48,2008.78,1147.21
We,4/14/2004,31.23,1.573833333,0.0649,829,7.46,421.55,10595.55,2047.63,1156.87
Tu,4/13/2004,31.41,1.573833333,0.0653,824.46,7.475,427.55,10588,2055.11,1154.88
Mo,4/12/2004,31.58,1.573833333,0.0664,834,7.335,428.55,10593.11,2033.36,1151.04
Th,4/8/2004,30.97,1.573833333,0.065,834.5,7.155,424.35,10591.48,2039.65,1149.1
We,4/7/2004,29.72,1.573833333,0.0635,830.5,7.015,424.25,10678.14,2057.8,1155.96
Tu,4/6/2004,28.93,1.573833333,0.0631,835.5,7.285,426.85,10583.92,2029.82,1144.94
Mo,4/5/2004,28.79,1.573833333,0.0639,843.5,7.285,428.45,10580.14,2032.57,1144.91
Fr,4/2/2004,29.38,1.573833333,0.0629,849,7.155,424.23,10601.62,2022.98,1143.67
Th,4/1/2004,29.37,1.573833333,0.0638,843.5,7.165,423.75,10566.37,2005.44,1139.09
We,3/31/2004,30.79,1.573833333,0.0659,848.5,7.325,424.13,10609.62,2007.52,1140.99
Tu,3/30/2004,30.12,1.573833333,0.0678,848,7.345,419.85,10619.03,2037.93,1144.11
Mo,3/29/2004,29.71,1.573833333,0.0663,838,7.295,416.25,10664.73,2045.96,1147.06
Fr,3/26/2004,30.23,1.573833333,0.0687,839,7.255,418.8,10671.99,2076.47,1151.82
Th,3/25/2004,31.01,1.573833333,0.0689,846.47,7.295,417.75,10714.88,2080.35,1156.99
We,3/24/2004,31.5,1.573833333,0.0658,842.5,7.155,416.25,10627.85,2053.56,1145.81
Tu,3/23/2004,30.77,1.573833333,0.0663,832.5,6.945,415.25,10694.07,2073.61,1152.11
Mo,3/22/2004,30.76,1.573833333,0.064,842.5,7.07,422.05,10737.7,2089.66,1157.76
Fr,3/19/2004,30.8,1.573833333,0.0664,847.5,7.02,422.77,10613.85,2075.33,1145.54
Th,3/18/2004,30.98,1.573833333,0.0653,842.5,6.865,417.65,10579.03,2060.57,1139.81
We,3/17/2004,30.91,1.573833333,0.0651,841,7.025,417.88,10593.03,2064.01,1142.76
Tu,3/16/2004,30.6,1.573833333,0.0655,844,7.205,418.75,10495.55,2019.56,1128.59
Mo,3/15/2004,29.97,1.573833333,0.0658,839.5,7.265,414.05,10470.74,2014.14,1126.53
Fr,3/12/2004,30.52,1.573833333,0.066,828,7.185,419.46,10505.18,2066.21,1136.03
Th,3/11/2004,30.1,1.573833333,0.0658,859.5,7.185,418.25,10499.18,2063.15,1135.26
We,3/10/2004,29.96,1.573833333,0.0669,860.5,7.065,412.95,10488.07,2066.15,1131.13
Tu,3/9/2004,30.36,1.573833333,0.066,849.5,6.735,412.25,10510.29,2068.23,1134.12
Mo,3/8/2004,30.67,1.573833333,0.0671,873,6.915,408.63,10468.37,2077.37,1128.48
Fr,3/5/2004,30.4,1.573833333,0.0661,857,6.89,407.83,10609.92,2116.04,1144.05
Th,3/4/2004,29.86,1.573833333,0.0667,852.5,6.645,410.13,10702.51,2153.83,1155.37
We,3/3/2004,30.33,1.573833333,0.0678,850,6.575,407.35,10568.29,2123.87,1141.55
Tu,3/2/2004,30.45,1.573833333,0.0666,844,6.495,409.25,10623.18,2119.01,1143.94
Mo,3/1/2004,29.89,1.573833333,0.0643,850,6.385,405.05,10623.62,2142.45,1147.62
Fr,2/27/2004,29.16,1.573833333,0.0631,835,6.405,405.65,10528.66,2147.98,1138.77
Th,2/26/2004,29.31,1.573833333,0.0636,839.5,6.335,404.52,10600.51,2140.46,1139.83
We,2/25/2004,28.79,1.573833333,0.0625,838.5,6.355,405.15,10553.85,2109.08,1132.05
Tu,2/24/2004,29.22,1.573833333,0.064,845.5,6.24,405.42,10538.37,2111.13,1130.52
Mo,2/23/2004,28.89,1.573833333,0.0632,845.5,6.235,403.95,10427.18,2096.44,1121.22
Fr,2/20/2004,29.21,1.573833333,0.0608,842.5,6.285,402.75,10485.18,2111.78,1127.23
Th,2/19/2004,29.07,1.573833333,0.0609,835.75,6.255,398.95,10458.89,2086.92,1121.86
We,2/18/2004,29.28,1.573833333,0.0662,828.5,6.205,399.65,10592.44,2100.25,1131.92
Tu,2/17/2004,28.66,1.573833333,0.0715,845.5,6.205,397.75,10529.03,2077.68,1126.33
Mo,2/16/2004,28.79,1.573833333,0.0701,845.5,6.12,402.55,10538.66,2057.37,1123.67
Fr,2/13/2004,28.68,1.573833333,0.0687,848.5,6.14,401.05,10544.07,2047.36,1122.22
Th,2/12/2004,28.17,1.573833333,0.0676,860,6.1825,406.35,10409.85,2006.68,1108.48
We,2/11/2004,28.14,1.573833333,0.068,870,6.21,408.85,10453.92,2003.37,1111.92
Tu,2/10/2004,27.48,1.573833333,0.0676,869.5,6.525,409.85,10425.04,2009.88,1109.64
Mo,2/9/2004,27.2,1.573833333,0.068,865.5,6.555,408.05,10450,2006.48,1109.48
Fr,2/6/2004,27.67,1.573833333,0.0674,864.5,6.755,403.25,10324.67,1973.14,1095.89
Th,2/5/2004,26.91,1.573833333,0.0668,864.5,6.775,406.55,10305.19,1969.23,1094.04
We,2/4/2004,27.74,1.573833333,0.0667,855.5,6.755,406.55,10341.26,1974.78,1096.02
Tu,2/3/2004,28.01,1.573833333,0.0635,849.5,6.705,403.15,10338,1955.8,1092.94
Mo,2/2/2004,27.58,1.573833333,0.0631,845,6.565,409.95,10278.22,1951.02,1088.67
Fr,1/30/2004,27.76,1.573833333,0.0622,836.5,6.655,412.75,10248.08,1956.18,1089.18
Th,1/29/2004,28.08,1.573833333,0.0619,853,6.585,406.65,10145.26,1921.33,1076.48
We,1/28/2004,28.26,1.573833333,0.0613,863.5,6.555,404.55,10129.56,1924.29,1075.13
Tu,1/27/2004,28.57,1.573833333,0.0606,860,6.695,405.05,10022.82,1918.26,1068.04
Mo,1/26/2004,28.46,1.573833333,0.0616,881,6.85,402.25,10042.16,1949,1074.14
Fr,1/23/2004,28.96,1.573833333,0.0624,883.5,6.815,398.95,10008.16,1942.32,1071.21
Th,1/22/2004,28.92,1.573833333,0.0603,863.5,6.81,393.75,9921.86,1904.65,1059.05
We,1/21/2004,28.97,1.573833333,0.0602,849.25,6.72,395.45,9923.42,1908.32,1060.18
Tu,1/20/2004,28.97,1.573833333,0.0584,836.5,6.71,398.65,9965.27,1948.85,1069.3
Mo,1/19/2004,28.42,1.573833333,0.0576,847.5,6.6,400.25,9862.68,1937.82,1061.5
Fr,1/16/2004,27.61,1.573833333,0.0572,833,6.525,399.75,9930.82,1968.8,1069.72
Th,1/15/2004,29.17,1.573833333,0.0564,828.5,6.505,392.85,9873.42,1960.25,1064.73
We,1/14/2004,28.96,1.573833333,0.0552,827.5,6.675,391.65,9853.64,1980.07,1066.62
Tu,1/13/2004,29.68,1.573833333,0.056,834,6.71,394.05,9899.05,1989.82,1070.12
Mo,1/12/2004,29.29,1.573833333,0.0558,825.5,6.75,392.15,9782.46,1960.26,1058.2
Fr,1/9/2004,29.26,1.573833333,0.0548,827.5,6.745,391.05,9779.57,1953.31,1058.45
Th,1/8/2004,28.87,1.573833333,0.054,820,6.705,387.55,9763.94,1943.04,1053.89
We,1/7/2004,28.94,1.573833333,0.054,821.5,6.66,387.85,9747.79,1947.14,1052.08
Tu,1/6/2004,28.86,1.573833333,0.0544,799,6.58,387.25,9628.53,1893.88,1035.28
Mo,1/5/2004,28.26,1.573833333,0.0536,807,6.54,388.95,9619.42,1881.92,1033.65
Fr,1/2/2004,28.11,1.573833333,0.0545,816.5,6.34,390.15,9690.46,1899.65,1042.44
We,12/31/2003,27.9,1.573833333,0.0558,818.5,6.355,395.05,9624.16,1881.75,1034.15
Tu,12/30/2003,27.71,1.573833333,0.0568,830.5,6.22,396.75,9710.83,1909.61,1043.63
Mo,12/29/2003,27.51,1.573833333,0.0575,829.25,6.22,400.15,9768.68,1930.26,1050.35
We,12/24/2003,27.51,1.573833333,0.0572,834.5,6.32,405.65,9837.94,1967.35,1058.41
Tu,12/23/2003,27.12,1.573833333,0.0586,828.5,6.4,406.65,9848.83,1973.11,1058.56
Mo,12/22/2003,27.71,1.573833333,0.0587,824.5,6.385,404.05,9737.79,1930.75,1046.57
Fr,12/19/2003,29.09,1.573833333,0.0587,817.5,6.555,405.45,9756.53,1941.64,1047.11
Th,12/18/2003,29.11,1.573833333,0.0575,817.5,6.57,401.65,9809.79,1970.74,1053.21
We,12/17/2003,28.56,1.573833333,0.0577,810.5,6.7,407.95,9856.97,1976.37,1058.05
Tu,12/16/2003,28.82,1.573833333,0.0577,821.5,6.635,407.65,9820.83,1959.37,1051.81
Mo,12/15/2003,28.43,1.573833333,0.0584,812.5,6.605,407.95,9838.83,1957.96,1053.25
Fr,12/12/2003,28.18,1.573833333,0.058,808.5,6.385,402.45,9858.46,1967.7,1059.02
Th,12/11/2003,27.96,1.573833333,0.0581,795.5,6.515,392.75,9801.12,1932.21,1050.71
We,12/10/2003,28.19,1.573833333,0.0579,776.5,6.45,398.25,9786.61,1932.69,1046.94
Tu,12/9/2003,28.15,1.573833333,0.0573,783.5,6.39,397.95,9774.53,1936.56,1048.11
Mo,12/8/2003,27.52,1.573833333,0.0585,776.5,6.115,395.95,9748.31,1932.26,1046.79
Fr,12/5/2003,27.53,1.573833333,0.0598,784.5,5.96,394.25,9608.16,1882.91,1031.13
Th,12/4/2003,27.75,1.573833333,0.0597,789.5,6,392.55,9582.46,1865.59,1028.91
We,12/3/2003,27.25,1.573833333,0.0593,777.5,5.995,400.88,9613.13,1885.51,1033.77
Tu,12/2/2003,26.72,1.573833333,0.0576,789.5,5.93,401.55,9598.24,1898.07,1030.36
Mo,12/1/2003,26.29,1.573833333,0.0594,806.5,5.77,402.15,9747.64,1940.9,1046.03
Fr,11/28/2003,27.51,1.573833333,0.0585,811.5,5.855,395.75,9777.94,1925.14,1044.68
Th,11/27/2003,27.42,1.573833333,0.057,808.5,5.935,394.95,9721.79,1912.36,1039.32
We,11/26/2003,27.15,1.573833333,0,807.5,6.1318,393.85,9791.72,1950.14,1050.07
Tu,11/25/2003,26.97,1.573833333,0.0567,815.5,6.155,394.85,9803.05,1939.1,1046.76
Mo,11/24/2003,27.58,1.573833333,0.0575,807.5,5.87,388.88,9812.98,1943.19,1049.48
Fr,11/21/2003,28.5,1.573833333,0.058,793.5,5.865,384.65,9764.38,1933.53,1045.35
Th,11/20/2003,28.91,1.573833333,0.0591,779.5,5.855,389.05,9674.68,1915.31,1038.06
We,11/19/2003,28.72,1.573833333,0.0588,778.5,5.975,383.55,9680.01,1911.9,1038.73
Tu,11/18/2003,27.64,1.573833333,0.0592,794.5,5.915,384.55,9630.9,1893.78,1033.78
Mo,11/17/2003,27.92,1.573833333,0.061,794.5,5.715,386.05,9654.61,1907.85,1039.25
Fr,11/14/2003,28.2,1.573833333,0.0644,797.5,5.725,384.65,9594.98,1893.46,1034.35
Th,11/13/2003,27.88,1.573833333,0.0654,806.5,5.655,391.35,9572.31,1880.57,1029.85
We,11/12/2003,27.86,1.573833333,0.0655,834.5,5.71,393.75,9487.8,1836.22,1020.24
Tu,11/11/2003,27.52,1.573833333,0.0645,832.5,5.74,389.95,9469.2,1832.25,1018.22
Mo,11/10/2003,27.67,1.573833333,0.0677,830,5.635,388.35,9275.06,1786.94,995.97
Fr,11/7/2003,27.19,1.573833333,0.0675,827.77,5.775,391.55,9380.24,1824.56,1006.58
Th,11/6/2003,27.23,1.573833333,0.067,831.5,5.895,394.65,9313.08,1792.07,996.85
We,11/5/2003,25.98,1.573833333,0.0672,844.5,5.8,395.55,9343.96,1817.24,1003.27
Tu,11/4/2003,25.81,1.573833333,0.0666,837.5,5.735,393.35,9425.51,1843.7,1009.38
Mo,11/3/2003,26.42,1.573833333,0.0665,830.5,5.825,394.75,9576.04,1901.72,1029.03
Fr,10/31/2003,26.35,1.573833333,0.0671,845.5,6.055,388.75,9535.41,1874.62,1022.82
Th,10/30/2003,26.37,1.573833333,0.0658,837.5,6.115,388.65,9644.82,1905.7,1036.3
We,10/29/2003,27.18,1.573833333,0.0638,835.5,6.115,385.55,9659.13,1909.55,1039.58
Tu,10/28/2003,26.92,1.573833333,0.0629,823.5,6.205,384.35,9545.65,1883.1,1025.97
Mo,10/27/2003,26.93,1.573833333,0.0625,817.5,6.065,379.65,9567.34,1887.25,1029.32
Fr,10/24/2003,27.63,1.573833333,0.0612,805.5,6.0825,382.45,9448.81,1845.7,1014.81
Th,10/23/2003,26.92,1.573833333,0.0612,806,6,377.15,9471.55,1855.03,1018.63
We,10/22/2003,27.31,1.573833333,0.0626,800.5,5.86,379.15,9459.76,1846.09,1016.42
Tu,10/21/2003,27.31,1.573833333,0.0638,817.5,5.82,376.65,9420.46,1823.81,1010.92
Mo,10/20/2003,27.01,1.573833333,0.064,793,5.92,374.85,9507.2,1873.43,1023.17
Fr,10/17/2003,28.11,1.573833333,0.0633,798,5.675,378.13,9586.29,1888.62,1031.64
Th,10/16/2003,28.42,1.573833333,0.0632,786.5,5.7,377.85,9503.34,1858.24,1021.39
We,10/15/2003,28.22,1.573833333,0.0638,782.5,5.725,378.75,9587.9,1868.97,1027.97
Tu,10/14/2003,28.11,1.573833333,0.0634,770,5.615,378.75,9568.46,1852.9,1026.27
Mo,10/13/2003,28.15,1.573833333,0.0622,787.5,5.555,387.75,9523.27,1841.48,1021.99
Fr,10/10/2003,27.67,1.573833333,0.0621,797.5,5.59,393.25,9415.82,1810.45,1008.01
Th,10/9/2003,26.69,1.573833333,0.062,811.5,5.75,392.65,9374.21,1800.18,1002.84
We,10/8/2003,26.77,1.573833333,0.0607,817.5,5.59,387.15,9333.79,1782.13,996.79
Tu,10/7/2003,26.62,1.573833333,0.0602,812.75,5.815,386.75,9340.45,1770.65,996.73
Mo,10/6/2003,27.06,1.573833333,0.0597,798.5,6.125,387.85,9317.64,1764.31,993.71
Fr,10/3/2003,26.29,1.573833333,0.0599,790,6.03,385.65,9348.87,1765.32,993.06
Th,10/2/2003,26.16,1.573833333,0.0586,804.5,6.01,398.75,9423.68,1777.55,1003.28
We,10/1/2003,25.82,1.573833333,0.0593,842.5,6.04,396.35,9397.51,1760.54,1000.3
Tu,9/30/2003,25.5,1.573833333,0.0619,822.5,5.865,395.05,9428.9,1761.11,1002.35
Mo,9/29/2003,25.13,1.573833333,0.0612,852.5,5.855,392.95,9412.45,1739.49,999.74
Fr,9/26/2003,24.89,1.573833333,0.0614,848.5,6.245,390.05,9321.69,1702.01,990.67
Th,9/25/2003,25.33,1.573833333,0.0619,888.5,6.17,394.85,9310.56,1700.34,990.51
We,9/24/2003,24.13,1.573833333,0.061,917.5,6.175,401.05,9271.76,1686.61,984.03
Tu,9/23/2003,24.61,1.573833333,0.0594,934.5,6.125,400.55,9310.06,1687.01,990.35
Mo,9/22/2003,23.9,1.573833333,0.0595,922.5,6.175,399.35,9217.35,1661.51,980.59
Fr,9/19/2003,24.3,1.573833333,0.0605,922.5,6.805,400.55,9191.09,1644.03,977.59
Th,9/18/2003,23.94,1.573833333,0.0602,927.5,7.195,406.65,9126.45,1652.18,974.12
We,9/17/2003,24.57,1.573833333,0.0595,929.5,7.135,418.65,9061.74,1652.68,967.08
Tu,9/16/2003,25.1,1.573833333,0.0597,939.5,7.115,420.05,9036.32,1673.5,965.46
Mo,9/15/2003,24.99,1.573833333,0.061,902.5,7.05,420.05,9186.04,1714.06,982.82
Fr,9/12/2003,25.32,1.573833333,0.0599,902.5,7.425,423.05,9153.97,1715.62,980.15
Th,9/11/2003,25.85,1.573833333,0.0597,882.5,8.02,419.45,9233.8,1735.02,990.31
We,9/10/2003,25.6,1.573833333,0.0596,882.5,8.15,415.65,9200.05,1720.91,987.49
Tu,9/9/2003,25.51,1.573833333,0.0601,890,8.08,420.65,9204.46,1731.37,989.28
Mo,9/8/2003,25.56,1.573833333,0.0607,908.5,8.22,425.9,9266.51,1735.36,996.52
Fr,9/5/2003,25.33,1.573833333,0.0609,914.5,8.23,426.45,9284.57,1730.7,998.68
Th,9/4/2003,26.05,1.573833333,0.0623,903.5,8.11,420.85,9112.51,1701.42,981.6
We,9/3/2003,25.88,1.573833333,0.0647,893.5,8.135,417.85,9194.24,1719.18,988.61
Tu,9/2/2003,27.1,1.573833333,0.0638,889.5,8.13,422.35,9158.45,1706.1,988.11
Mo,9/1/2003,27.24,1.573833333,0.0644,910,7.915,416.25,9096.69,1681.41,978.8
Fr,8/29/2003,27.58,1.573833333,0.062,910,7.75,415.55,9188.15,1708.5,993.32
Th,8/28/2003,27.55,1.573833333,0.0613,916.5,7.61,419.75,9050.82,1698.02,981.73
We,8/27/2003,27.7,1.573833333,0.0595,911.5,7.69,417.25,9094.59,1747.97,994
Tu,8/26/2003,27.8,1.573833333,0.0586,895.5,7.59,412.35,9128.97,1753.21,1000.42
Mo,8/25/2003,27.95,1.573833333,0.06,892.5,7.62,411.35,9177.15,1754.82,1003.86
Fr,8/22/2003,27.85,1.573833333,0.0602,897.5,7.68,407.35,9119.59,1733.93,998.14
Th,8/21/2003,27.45,1.573833333,0.0607,907.5,7.61,402.25,9036.04,1715.86,988.7
We,8/20/2003,26.82,1.573833333,0.0597,902.5,7.53,399.48,9156.21,1747.46,1002.21
Tu,8/19/2003,27.1,1.573833333,0.06,912.5,7.445,395.25,9223.09,1746.46,1007.84
Mo,8/18/2003,27.49,1.573833333,0.0592,904.5,7.26,402.92,9216.79,1720.71,1004.42
Fr,8/15/2003,27.55,1.573833333,0.0596,902.5,7.16,400.15,9070.21,1663.46,985.7
Th,8/14/2003,27.19,1.573833333,0.0589,920.5,7.12,402.75,9142.84,1678.73,993.75
We,8/13/2003,27.93,1.573833333,0.0605,896,7.035,401.45,9040.95,1640.13,982.32
Tu,8/12/2003,27.8,1.573833333,0.06,893.5,7.1927,401.25,8985.44,1622.8,974.5
Mo,8/11/2003,27.89,1.573833333,0.061,886.5,7.15,393.05,8989.05,1625.26,976.22
Fr,8/8/2003,28.14,1.573833333,0.0596,881.5,7.11,393.35,9079.04,1634.01,985.82
Th,8/7/2003,27.79,1.573833333,0.0601,884,6.98,393.05,9011.53,1602.66,975.32
We,8/6/2003,28.25,1.573833333,0.0605,875.5,6.96,399.55,9109.85,1605.61,983.45
Tu,8/5/2003,27.65,1.573833333,0.0597,902.5,6.75,396.15,9072.95,1610.75,981.64
Mo,8/4/2003,27.67,1.573833333,0.0613,882.5,6.76,395.05,9200.75,1644.72,995.69
Fr,8/1/2003,26.81,1.573833333,0.062,866.5,6.72,396.05,9179.53,1648.64,994.7
Th,7/31/2003,26.88,1.573833333,0.0629,854,6.93,403.85,9293.8,1677.14,1010.09
We,7/30/2003,26.46,1.573833333,0.064,858.5,6.69,398.65,9323.02,1668.44,1011.66
Tu,7/29/2003,26.36,1.573833333,0.0656,842.5,6.7,397.55,9318.96,1666.58,1010.74
Mo,7/28/2003,26.21,1.573833333,0.0669,844.5,6.52,409.98,9117.12,1626.49,988.61
Fr,7/25/2003,26.42,1.573833333,0.0656,856,6.6,410.95,9196.55,1653.62,998.51
Th,7/24/2003,26.32,1.573833333,0.0654,862.5,6.47,415.55,9183.22,1646.02,997.48
We,7/23/2003,26.2,1.573833333,0.0648,859,6.52,411.65,9054.89,1627.67,984.84
Tu,7/22/2003,26.77,1.573833333,0.0657,851.5,6.67,410.15,8980,1603.97,975.93
Mo,7/21/2003,27.24,1.573833333,0.0646,849,6.635,411.85,9062.79,1627.42,987.76
Fr,7/18/2003,26.84,1.573833333,0.0657,848,6.76,411.15,9041.3,1646.01,990.14
Th,7/17/2003,26.82,1.573833333,0.0649,846.5,6.57,406.35,9038.98,1634.65,986.24
We,7/16/2003,27.15,1.573833333,0.0651,837.5,6.56,406.75,8922.95,1603.56,971.56
Tu,7/15/2003,27.17,1.573833333,0.0662,834,6.6,403.35,8897.81,1590.75,967
Mo,7/14/2003,27.54,1.573833333,0.0673,829.5,6.565,396.95,8850.26,1595.91,963.59
Fr,7/11/2003,27.09,1.573833333,0.0681,822.5,6.37,400.75,8711.18,1574.95,949.64
Th,7/10/2003,27.04,1.573833333,0.0662,825.5,6.41,399.65,8793.12,1563.24,953.22
We,7/9/2003,26.51,1.573833333,0.0679,831.5,6.26,398.35,8781.35,1556.69,951.48
Tu,7/8/2003,25.93,1.573833333,0.0728,817.5,6.12,402.45,8601.38,1510.09,933.22
Mo,7/7/2003,26.22,1.573833333,0.0735,837.5,6.145,399.35,8594.02,1507.55,931.87
Fr,7/4/2003,26.09,1.573833333,0.0733,830.5,6.11,410.35,8516.43,1489.87,923.42
Th,7/3/2003,26.68,1.573833333,0.0724,856.5,6.035,410.35,8491.36,1491.09,919.73
We,7/2/2003,26.27,1.573833333,0.0721,858.5,6.23,404.05,8493.39,1492.77,920.77
Tu,7/1/2003,26.21,1.573833333,0.0709,858.5,6.25,408.08,8678.97,1538.53,944.3
Mo,6/30/2003,26.1,1.573833333,0.072,864.5,6.52,409.35,8713.14,1551.38,946.67
Fr,6/27/2003,25.67,1.573833333,0.0703,867.5,6.545,410.55,8647.82,1534.9,939.28
Th,6/26/2003,26.19,1.573833333,0.0693,861.5,6.265,412.85,8679.25,1539.68,942.3
We,6/25/2003,25.43,1.573833333,0.0688,862.5,6.34,407.25,8726.73,1541.4,945.11
Tu,6/24/2003,25.52,1.573833333,0.0692,860.5,6.34,406.75,8604.6,1520.15,933.41
Mo,6/23/2003,25.83,1.573833333,0.0702,855.5,6.2,408.88,8491.22,1489.69,920.27
Fr,6/20/2003,25.24,1.573833333,0.0685,854,6.32,419.95,8560.63,1506.76,929.62
Th,6/19/2003,24.93,1.573833333,0.0681,862.5,6.33,424.15,8588.36,1523.71,934.39
We,6/18/2003,25.1,1.573833333,0.067,859.5,6.31,424.45,8531.57,1504.04,926.55
Tu,6/17/2003,25.09,1.573833333,0.0665,858.5,6.21,426.38,8582.68,1502.88,930.08
Mo,6/16/2003,25.19,1.573833333,0.0664,852,6.41,423.88,8454.25,1472.56,916.3
Fr,6/13/2003,25.17,1.573833333,0.0655,855.5,6.57,420.55,8480.09,1464.31,916.92
Th,6/12/2003,25.97,1.573833333,0.0651,843.5,6.59,422.35,8502.99,1471.3,917.84
We,6/11/2003,25.95,1.573833333,0.0644,847.5,6.46,423.65,8471.61,1462.24,914.84
