day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
Tu,1/9/2024,77.23,2.619,0.2174,934.85,23.1101,2028.07,37440.34,14510.3,4688.68
Mo,1/8/2024,77.63,2.55,0.2111,947.91,23.192,2045.45,37430.19,14592.21,4704.81
Fr,1/5/2024,77.64,2.61,0.2108,964.18,23.0108,2043.65,37715.04,14765.94,4742.83
Th,1/4/2024,78.12,2.572,0.2085,958.93,22.9895,2041.49,37689.54,15011.35,4769.83
We,1/3/2024,74.66,2.447,0.209,976.09,23.6638,2058.96,37710.1,15095.14,4783.35
Tu,1/2/2024,78.02,2.492,0.2058,985.88,23.7953,2062.98,37656.52,15099.18,4781.58
Mo,1/1/2024,75.78,2.503,0.2176,991.9,23.9743,2065.61,37545.33,15074.57,4774.75
Fr,12/29/2023,76.51,2.491,0.206,1007.27,24.266,2077.49,37385.97,14992.97,4754.63
Th,12/28/2023,77.73,2.392,0.2053,1000.5,24.2258,2067.81,37404.35,14963.87,4746.75
We,12/27/2023,79.89,2.335,0.2062,983.7,24.1883,2053.08,37082,14777.94,4698.35
Tu,12/26/2023,77.99,2.311,0.2024,976.6,24.405,2045.95,37557.92,15003.22,4768.37
Mo,12/25/2023,78.11,2.431,0.2092,968.02,24.1473,2031.39,37306.02,14905.19,4740.56
Fr,12/22/2023,79.54,2.581,0.2143,964.44,24.0516,2040.35,37305.16,14813.92,4719.19
Th,12/21/2023,79.24,2.585,0.2131,957.28,23.8045,2027.19,37248.35,14761.56,4719.55
We,12/20/2023,78.97,2.569,0.2199,949.79,23.8556,2019.62,37090.24,14733.96,4707.09
Tu,12/19/2023,76.64,2.71,0.2218,944.51,24.1844,2036.36,36577.94,14533.4,4643.7
Mo,12/18/2023,76.14,2.694,0.2197,961.4,23.815,2027.74,36404.93,14432.49,4622.44
Fr,12/15/2023,76.01,2.814,0.2259,938.76,22.7743,1979.54,36247.87,14403.97,4604.37
Th,12/14/2023,73.94,2.802,0.2247,933.07,22.8195,1981.95,36117.38,14339.99,4585.59
We,12/13/2023,72.44,2.804,0.2336,913.46,23.0006,2004.67,36054.43,14146.71,4549.34
Tu,12/12/2023,76.56,2.706,0.2303,920.65,23.8017,2028.47,36124.56,14229.91,4567.18
Mo,12/11/2023,76.1,2.794,0.23,909.82,23.8993,2025.55,36204.44,14185.49,4569.78
Fr,12/8/2023,76.12,2.855,0.2496,892.27,24.1588,2019.36,36245.5,14305.03,4594.63
Th,12/7/2023,75.02,2.897,0.2581,903.1,24.5055,2029.42,35950.89,14226.22,4567.8
We,12/6/2023,76.91,2.846,0.2509,921.38,25.486,2072.22,35430.42,14258.49,4550.58
Tu,12/5/2023,78.78,2.882,0.2604,937.15,25.272,2036.41,35416.98,14281.76,4554.89
Mo,12/4/2023,78.38,2.96,0.2686,929.53,25.0201,2044.24,35333.47,14241.02,4550.43
Fr,12/1/2023,80.63,3.062,0.2699,934.7,25.0263,2040.97,35390.15,14250.85,4559.34
Th,11/30/2023,84.25,3.106,0.272,944.54,24.649,2014.13,35273.03,14265.86,4556.62
We,11/29/2023,82.88,3.197,0.2698,921.89,24.33,2000.82,35088.29,14199.98,4538.19
Tu,11/28/2023,81.68,3.033,0.2722,934.75,23.6785,1992.25,35151.04,14284.53,4547.38
Mo,11/27/2023,81.23,3.041,0.2722,918.46,23.6316,1990.17,34947.28,14125.48,4514.02
Fr,11/24/2023,82.46,3.14,0.2775,926.04,23.7519,1998.29,34945.47,14113.67,4508.24
Th,11/23/2023,81.69,3.264,0.2756,937.95,23.4438,1978.07,34991.21,14103.84,4502.88
We,11/22/2023,83.68,3.515,0.2718,923.4,23.7189,1980.82,34827.7,14094.38,4495.7
Tu,11/21/2023,83.52,3.472,0.2719,902.72,23.7472,1980.9,34337.87,13767.74,4411.55
Mo,11/20/2023,82.46,3.494,0.2715,897.48,23.4421,1959.85,34283.1,13798.11,4415.24
Fr,11/17/2023,78.99,3.575,0.2718,899.65,23.0909,1964.29,33891.94,13521.45,4347.35
Th,11/16/2023,81.96,3.352,0.2771,889.66,22.3258,1946.92,34112.27,13650.41,4382.78
We,11/15/2023,83.25,3.164,0.2729,868.31,22.2675,1940.2,34152.6,13639.86,4378.38
Tu,11/14/2023,84.15,3.214,0.2778,845.83,22.6377,1958.55,34095.86,13518.78,4365.98
Mo,11/13/2023,82.7,3.01,0.2721,862.54,22.5593,1950.2,34061.32,13478.28,4358.34
Fr,11/10/2023,81.76,2.971,0.2759,871.53,22.635,1969.45,33839.08,13294.19,4317.78
Th,11/9/2023,81.72,2.926,0.2795,894.75,23.0268,1978.14,33274.58,13061.47,4237.86
We,11/8/2023,83.24,2.899,0.2777,909.27,23.2145,1992.65,33052.87,12851.24,4193.8
Tu,11/7/2023,85.08,2.957,0.2748,934.75,22.7652,1985.78,32928.96,12789.48,4166.82
Mo,11/6/2023,87.61,3.056,0.2751,925.35,22.9489,1982.53,32417.59,12643.01,4117.37
Fr,11/3/2023,88.46,3.079,0.2709,927.16,22.8451,1983.88,32784.3,12595.61,4137.23
Th,11/2/2023,87.36,3.109,0.2675,937.14,23.3357,1996.1,33035.93,12821.22,4186.77
We,11/1/2023,85.84,3.236,0.2734,935.75,23.1199,2006.37,33141.38,13139.88,4247.68
Tu,10/31/2023,86.66,3.344,0.2704,907.55,22.795,1984.71,32936.41,13018.33,4217.04
Mo,10/30/2023,89.29,3.377,0.2763,906.12,22.865,1979.72,33127.28,12983.81,4224.16
